CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,
0.037910,0.400000,0.400000,0.265607,0.265857,0.265872,0.265544,0.265550,
0.096442,0.400000,0.400000,0.294460,0.294709,0.294725,0.294397,0.294394,
0.146084,0.400000,0.400000,0.309661,0.309910,0.309928,0.309603,0.309597,
0.118011,0.400000,0.400000,0.290769,0.291017,0.291035,0.290715,0.290718,
0.050282,0.400000,0.400000,0.262455,0.262702,0.262718,0.262398,0.262407,
0.037844,0.400000,0.400000,0.265570,0.265820,0.265835,0.265508,0.265514,
0.096379,0.400000,0.400000,0.294526,0.294777,0.294792,0.294464,0.294461,
0.146092,0.400000,0.400000,0.309703,0.309952,0.309968,0.309645,0.309639,
0.118107,0.400000,0.400000,0.290810,0.291058,0.291075,0.290756,0.290759,
0.050358,0.400000,0.400000,0.262477,0.262723,0.262739,0.262420,0.262428,
0.037856,0.400000,0.400000,0.265563,0.265812,0.265828,0.265501,0.265507,
0.096346,0.400000,0.400000,0.294513,0.294763,0.294779,0.294451,0.294448,
0.146090,0.400000,0.400000,0.309704,0.309953,0.309970,0.309646,0.309641,
0.118181,0.400000,0.400000,0.290843,0.291091,0.291107,0.290790,0.290791,
0.050435,0.400000,0.400000,0.262506,0.262754,0.262768,0.262451,0.262458,
0.037808,0.400000,0.400000,0.265534,0.265782,0.265798,0.265471,0.265477,
0.096209,0.400000,0.400000,0.294412,0.294661,0.294677,0.294349,0.294346,
0.146015,0.400000,0.400000,0.309667,0.309916,0.309933,0.309609,0.309604,
0.118225,0.400000,0.400000,0.290868,0.291116,0.291133,0.290814,0.290817,
0.050717,0.400000,0.400000,0.262608,0.262855,0.262872,0.262553,0.262560,
0.038072,0.400000,0.400000,0.265616,0.265865,0.265881,0.265553,0.265559,
0.096397,0.400000,0.400000,0.294507,0.294757,0.294774,0.294445,0.294440,
0.146287,0.400000,0.400000,0.309783,0.310033,0.310050,0.309726,0.309720,
0.118548,0.400000,0.400000,0.290988,0.291235,0.291253,0.290934,0.290936,
0.050753,0.400000,0.400000,0.262614,0.262860,0.262876,0.262557,0.262565,
0.037919,0.400000,0.400000,0.265551,0.265800,0.265816,0.265488,0.265494,
0.096236,0.400000,0.400000,0.294458,0.294708,0.294725,0.294395,0.294393,
0.146209,0.400000,0.400000,0.309775,0.310025,0.310042,0.309718,0.309713,
0.118535,0.400000,0.400000,0.290992,0.291239,0.291257,0.290937,0.290940,
0.050745,0.400000,0.400000,0.262614,0.262859,0.262877,0.262557,0.262566,
0.037828,0.400000,0.400000,0.265505,0.265754,0.265770,0.265443,0.265449,
0.096106,0.400000,0.400000,0.294390,0.294639,0.294656,0.294327,0.294324,
0.146139,0.400000,0.400000,0.309749,0.310000,0.310017,0.309692,0.309687,
0.118585,0.400000,0.400000,0.291016,0.291265,0.291281,0.290962,0.290965,
0.050797,0.400000,0.400000,0.262624,0.262871,0.262887,0.262568,0.262575,
0.037790,0.400000,0.400000,0.265482,0.265732,0.265747,0.265420,0.265426,
0.096006,0.400000,0.400000,0.294362,0.294612,0.294629,0.294299,0.294297,
0.146111,0.400000,0.400000,0.309754,0.310004,0.310021,0.309697,0.309692,
